YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,281,8.196721311475411,6.896551724137931,10.526315789473685
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,285,8.064516129032258,6.802721088435375,10.416666666666668
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,X,253,9.090909090909092,7.751937984496124,11.627906976744187
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,E,251,6.369426751592357,5.347593582887701,8.264462809917356
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,308,7.462686567164179,6.410256410256411,9.345794392523365
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,306,7.518796992481203,6.369426751592357,9.70873786407767
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,350,6.578947368421053,5.524861878453038,8.547008547008547
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,M5,X,350,6.578947368421053,5.46448087431694,8.695652173913043
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,370,6.211180124223602,5.128205128205129,8.333333333333334
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,386,5.9523809523809526,5.1020408163265305,7.518796992481203
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,389,5.91715976331361,4.975124378109452,7.6923076923076925
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,377,6.097560975609756,5.1020408163265305,7.936507936507937
2000,DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,334,6.896551724137931,6.329113924050633,7.751937984496124
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.2,8,A4,X,343,6.7114093959731544,5.649717514124294,8.695652173913043
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.9,8,A4,X,375,6.134969325153374,5.291005291005291,7.575757575757576
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,347,6.622516556291391,6.0606060606060606,7.518796992481203
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,350,6.578947368421053,5.524861878453038,8.620689655172415
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,350,6.578947368421053,5.524861878453038,8.620689655172415
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.9,8,A4,X,370,6.211180124223602,5.128205128205129,8.403361344537815
2000,DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,A4,N,314,6.024096385542168,5.291005291005291,7.299270072992701
2000,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.2,8,A4,X,396,5.813953488372094,5.05050505050505,7.142857142857143
